ticket_id,ticket_text,category,priority,channel,affected_users,clean_text
TCK-1034,Payment failed but money was deducted from bank account. The request came through chat from a education team. The customer is concerned because workflow delayed. Affected users: 2. Let us know if you need more information.,Billing,Medium,chat,2,payment failed but money deducted bank account request came through chat education team customer concerned because workflow delayed affected users let us know if need more information
TCK-1687,Can you explain how the trial period works. The request came through help desk from a education team. The customer is blocked because before tomorrow. Affected users: 1. Can your team help us resolve this?,General Query,Medium,help desk,1,can explain how trial period works request came through help desk education team customer blocked because before tomorrow affected users can your team help us resolve
TCK-1479,User invite link expired before activation. The request came through help desk from a enterprise. The customer is concerned because workflow delayed. Affected users: 1. Please share the next steps.,Account,Medium,help desk,1,user invite link expired before activation request came through help desk enterprise customer concerned because workflow delayed affected users share next steps
TCK-1324,Report export fails with server error. The request came through chat from a agency. The customer is waiting because urgent. Affected users: 80. Can your team help us resolve this?,Technical Issue,High,chat,80,report export fails server error request came through chat agency customer waiting because urgent affected users 80 can your team help us resolve
TCK-1255,Integration webhook is not sending payloads. The request came through help desk from a enterprise. The customer is confused because not urgent. Affected users: 3. Can your team help us resolve this?,Technical Issue,Low,help desk,3,integration webhook not sending payloads request came through help desk enterprise customer confused because not urgent affected users can your team help us resolve
TCK-1211,Dashboard is loading slowly after the latest update. The request came through help desk from a enterprise. The customer is concerned because important. Affected users: 1. We need a clear update from support.,Technical Issue,Medium,help desk,1,dashboard loading slowly after latest update request came through help desk enterprise customer concerned because important affected users need clear update support
TCK-1121,Unable to download receipt for annual plan. The request came through mobile app from a education team. The customer is concerned because workflow delayed. Affected users: 5. Let us know if you need more information.,Billing,Medium,mobile app,5,unable download receipt annual plan request came through mobile app education team customer concerned because workflow delayed affected users let us know if need more information
TCK-1134,Need refund for duplicate subscription charge. The request came through chat from a education team. The customer is blocked because small clarification. Affected users: 2. Please share the next steps.,Billing,Low,chat,2,need refund duplicate subscription charge request came through chat education team customer blocked because small clarification affected users share next steps
TCK-1418,Two factor authentication code is not working. The request came through chat from a enterprise. The customer is confused because needs attention. Affected users: 5. Please share the next steps.,Account,Medium,chat,5,two factor authentication code not working request came through chat enterprise customer confused because needs attention affected users share next steps
TCK-1364,Unable to reset password using registered email. The request came through help desk from a agency. The customer is frustrated because workflow delayed. Affected users: 3. This is affecting our daily workflow.,Account,Medium,help desk,3,unable reset password using registered email request came through help desk agency customer frustrated because workflow delayed affected users affecting daily workflow
TCK-1337,Application crashes when uploading a large csv file. The request came through email from a retail business. The customer is confused because small clarification. Affected users: 2. Can your team help us resolve this?,Technical Issue,Low,email,2,application crashes when uploading large csv file request came through email retail business customer confused because small clarification affected users can your team help us resolve
TCK-1376,Cannot update profile and organization details. The request came through email from a enterprise. The customer is frustrated because minor question. Affected users: 3. Please share the next steps.,Account,Low,email,3,cannot update profile organization details request came through email enterprise customer frustrated because minor question affected users share next steps
TCK-1572,Where can I find documentation for reports. The request came through help desk from a agency. The customer is frustrated because future reference. Affected users: 5. Please share the next steps.,General Query,Low,help desk,5,where can find documentation reports request came through help desk agency customer frustrated because future reference affected users share next steps
TCK-1637,Question about product features and limits. The request came through help desk from a agency. The customer is frustrated because minor question. Affected users: 1. Can your team help us resolve this?,General Query,Low,help desk,1,question about product features limits request came through help desk agency customer frustrated because minor question affected users can your team help us resolve
TCK-1717,Do you support custom onboarding for teams. The request came through mobile app from a agency. The customer is concerned because small clarification. Affected users: 5. Let us know if you need more information.,General Query,Low,mobile app,5,do support custom onboarding teams request came through mobile app agency customer concerned because small clarification affected users let us know if need more information
TCK-1570,Need guidance on choosing the right package. The request came through chat from a startup. The customer is blocked because affecting team. Affected users: 5. We need a clear update from support.,General Query,Medium,chat,5,need guidance choosing right package request came through chat startup customer blocked because affecting team affected users need clear update support
TCK-1584,Question about product features and limits. The request came through web form from a education team. The customer is concerned because production blocked. Affected users: 1. This is affecting our daily workflow.,General Query,High,web form,1,question about product features limits request came through web form education team customer concerned because production blocked affected users affecting daily workflow
TCK-1494,Cannot update profile and organization details. The request came through web form from a agency. The customer is concerned because small clarification. Affected users: 3. We need a clear update from support.,Account,Low,web form,3,cannot update profile organization details request came through web form agency customer concerned because small clarification affected users need clear update support
TCK-1301,Integration webhook is not sending payloads. The request came through mobile app from a enterprise. The customer is blocked because partial outage. Affected users: 2. Let us know if you need more information.,Technical Issue,Medium,mobile app,2,integration webhook not sending payloads request came through mobile app enterprise customer blocked because partial outage affected users let us know if need more information
TCK-1136,Need refund for duplicate subscription charge. The request came through web form from a agency. The customer is frustrated because partial outage. Affected users: 1. We need a clear update from support.,Billing,Medium,web form,1,need refund duplicate subscription charge request came through web form agency customer frustrated because partial outage affected users need clear update support
TCK-1050,Card charged twice for the same billing cycle. The request came through web form from a agency. The customer is waiting because future reference. Affected users: 2. Please share the next steps.,Billing,Low,web form,2,card charged twice same billing cycle request came through web form agency customer waiting because future reference affected users share next steps
TCK-1713,Do you support custom onboarding for teams. The request came through email from a education team. The customer is concerned because future reference. Affected users: 1. Let us know if you need more information.,General Query,Low,email,1,do support custom onboarding teams request came through email education team customer concerned because future reference affected users let us know if need more information
TCK-1417,Two factor authentication code is not working. The request came through mobile app from a retail business. The customer is confused because affecting team. Affected users: 1. This is affecting our daily workflow.,Account,Medium,mobile app,1,two factor authentication code not working request came through mobile app retail business customer confused because affecting team affected users affecting daily workflow
TCK-1073,Unable to download receipt for annual plan. The request came through mobile app from a startup. The customer is confused because when possible. Affected users: 1. This is affecting our daily workflow.,Billing,Low,mobile app,1,unable download receipt annual plan request came through mobile app startup customer confused because when possible affected users affecting daily workflow
TCK-1343,Mobile app freezes on the login screen. The request came through mobile app from a education team. The customer is blocked because not urgent. Affected users: 10. We need a clear update from support.,Technical Issue,Low,mobile app,10,mobile app freezes login screen request came through mobile app education team customer blocked because not urgent affected users 10 need clear update support
TCK-1598,Where can I find documentation for reports. The request came through help desk from a agency. The customer is concerned because important. Affected users: 1. This is affecting our daily workflow.,General Query,Medium,help desk,1,where can find documentation reports request came through help desk agency customer concerned because important affected users affecting daily workflow
TCK-1652,Need information about available pricing plans. The request came through help desk from a enterprise. The customer is frustrated because when possible. Affected users: 3. Can your team help us resolve this?,General Query,Low,help desk,3,need information about available pricing plans request came through help desk enterprise customer frustrated because when possible affected users can your team help us resolve
TCK-1078,Invoice amount is incorrect after plan renewal. The request came through help desk from a education team. The customer is concerned because small clarification. Affected users: 1. Let us know if you need more information.,Billing,Low,help desk,1,invoice amount incorrect after plan renewal request came through help desk education team customer concerned because small clarification affected users let us know if need more information
TCK-1523,Cannot update profile and organization details. The request came through chat from a agency. The customer is frustrated because small clarification. Affected users: 5. We need a clear update from support.,Account,Low,chat,5,cannot update profile organization details request came through chat agency customer frustrated because small clarification affected users need clear update support
TCK-1673,Can you explain how the trial period works. The request came through web form from a agency. The customer is frustrated because needs attention. Affected users: 3. We need a clear update from support.,General Query,Medium,web form,3,can explain how trial period works request came through web form agency customer frustrated because needs attention affected users need clear update support
TCK-1438,Need to change account owner for the workspace. The request came through web form from a agency. The customer is frustrated because revenue impact. Affected users: 1. Let us know if you need more information.,Account,High,web form,1,need change account owner workspace request came through web form agency customer frustrated because revenue impact affected users let us know if need more information
TCK-1592,Question about product features and limits. The request came through chat from a startup. The customer is blocked because important. Affected users: 1. Let us know if you need more information.,General Query,Medium,chat,1,question about product features limits request came through chat startup customer blocked because important affected users let us know if need more information
TCK-1132,Card charged twice for the same billing cycle. The request came through help desk from a enterprise. The customer is confused because partial outage. Affected users: 3. We need a clear update from support.,Billing,Medium,help desk,3,card charged twice same billing cycle request came through help desk enterprise customer confused because partial outage affected users need clear update support
TCK-1353,Report export fails with server error. The request came through web form from a enterprise. The customer is frustrated because affecting team. Affected users: 1. Can your team help us resolve this?,Technical Issue,Medium,web form,1,report export fails server error request came through web form enterprise customer frustrated because affecting team affected users can your team help us resolve
TCK-1212,Integration webhook is not sending payloads. The request came through mobile app from a enterprise. The customer is confused because partial outage. Affected users: 3. This is affecting our daily workflow.,Technical Issue,Medium,mobile app,3,integration webhook not sending payloads request came through mobile app enterprise customer confused because partial outage affected users affecting daily workflow
TCK-1216,Integration webhook is not sending payloads. The request came through mobile app from a agency. The customer is waiting because before tomorrow. Affected users: 3. We need a clear update from support.,Technical Issue,Medium,mobile app,3,integration webhook not sending payloads request came through mobile app agency customer waiting because before tomorrow affected users need clear update support
TCK-1085,Unable to download receipt for annual plan. The request came through email from a startup. The customer is waiting because important. Affected users: 1. This is affecting our daily workflow.,Billing,Medium,email,1,unable download receipt annual plan request came through email startup customer waiting because important affected users affecting daily workflow
TCK-1330,Dashboard is loading slowly after the latest update. The request came through email from a retail business. The customer is confused because affecting team. Affected users: 25. Let us know if you need more information.,Technical Issue,Medium,email,25,dashboard loading slowly after latest update request came through email retail business customer confused because affecting team affected users 25 let us know if need more information
TCK-1533,Please remove inactive users from our account. The request came through help desk from a enterprise. The customer is frustrated because not urgent. Affected users: 1. Please share the next steps.,Account,Low,help desk,1,remove inactive users account request came through help desk enterprise customer frustrated because not urgent affected users share next steps
TCK-1011,Card charged twice for the same billing cycle. The request came through mobile app from a retail business. The customer is confused because urgent. Affected users: 5. This is affecting our daily workflow.,Billing,High,mobile app,5,card charged twice same billing cycle request came through mobile app retail business customer confused because urgent affected users affecting daily workflow
TCK-1079,Invoice amount is incorrect after plan renewal. The request came through chat from a agency. The customer is confused because important. Affected users: 5. Can your team help us resolve this?,Billing,Medium,chat,5,invoice amount incorrect after plan renewal request came through chat agency customer confused because important affected users can your team help us resolve
TCK-1394,Please remove inactive users from our account. The request came through email from a education team. The customer is blocked because revenue impact. Affected users: 2. Please share the next steps.,Account,High,email,2,remove inactive users account request came through email education team customer blocked because revenue impact affected users share next steps
TCK-1251,Report export fails with server error. The request came through email from a startup. The customer is confused because urgent. Affected users: 3. Can your team help us resolve this?,Technical Issue,High,email,3,report export fails server error request came through email startup customer confused because urgent affected users can your team help us resolve
TCK-1098,Need refund for duplicate subscription charge. The request came through email from a enterprise. The customer is concerned because needs attention. Affected users: 3. Please share the next steps.,Billing,Medium,email,3,need refund duplicate subscription charge request came through email enterprise customer concerned because needs attention affected users share next steps
TCK-1655,Can you explain how the trial period works. The request came through email from a retail business. The customer is confused because future reference. Affected users: 5. This is affecting our daily workflow.,General Query,Low,email,5,can explain how trial period works request came through email retail business customer confused because future reference affected users affecting daily workflow
TCK-1156,Tax details are missing from the latest invoice. The request came through chat from a startup. The customer is waiting because future reference. Affected users: 5. Let us know if you need more information.,Billing,Low,chat,5,tax details missing latest invoice request came through chat startup customer waiting because future reference affected users let us know if need more information
TCK-1528,Need to change account owner for the workspace. The request came through mobile app from a enterprise. The customer is concerned because needs attention. Affected users: 10. Can your team help us resolve this?,Account,Medium,mobile app,10,need change account owner workspace request came through mobile app enterprise customer concerned because needs attention affected users 10 can your team help us resolve
TCK-1597,Question about product features and limits. The request came through mobile app from a startup. The customer is frustrated because affecting team. Affected users: 3. Can your team help us resolve this?,General Query,Medium,mobile app,3,question about product features limits request came through mobile app startup customer frustrated because affecting team affected users can your team help us resolve
TCK-1669,Question about product features and limits. The request came through web form from a startup. The customer is blocked because workflow delayed. Affected users: 1. Please share the next steps.,General Query,Medium,web form,1,question about product features limits request came through web form startup customer blocked because workflow delayed affected users share next steps
TCK-1409,Please remove inactive users from our account. The request came through chat from a retail business. The customer is waiting because workflow delayed. Affected users: 25. Let us know if you need more information.,Account,Medium,chat,25,remove inactive users account request came through chat retail business customer waiting because workflow delayed affected users 25 let us know if need more information
TCK-1082,Card charged twice for the same billing cycle. The request came through mobile app from a education team. The customer is blocked because minor question. Affected users: 1. Let us know if you need more information.,Billing,Low,mobile app,1,card charged twice same billing cycle request came through mobile app education team customer blocked because minor question affected users let us know if need more information
TCK-1383,Two factor authentication code is not working. The request came through chat from a education team. The customer is blocked because production blocked. Affected users: 3. Can your team help us resolve this?,Account,High,chat,3,two factor authentication code not working request came through chat education team customer blocked because production blocked affected users can your team help us resolve
TCK-1149,Payment failed but money was deducted from bank account. The request came through chat from a education team. The customer is frustrated because urgent. Affected users: 1. Please share the next steps.,Billing,High,chat,1,payment failed but money deducted bank account request came through chat education team customer frustrated because urgent affected users share next steps
TCK-1537,Two factor authentication code is not working. The request came through web form from a startup. The customer is blocked because nice to have. Affected users: 3. We need a clear update from support.,Account,Low,web form,3,two factor authentication code not working request came through web form startup customer blocked because nice affected users need clear update support
TCK-1582,Can you explain how the trial period works. The request came through chat from a startup. The customer is concerned because partial outage. Affected users: 25. Please share the next steps.,General Query,Medium,chat,25,can explain how trial period works request came through chat startup customer concerned because partial outage affected users 25 share next steps
TCK-1345,API returns timeout error during order sync. The request came through help desk from a retail business. The customer is blocked because production blocked. Affected users: 3. Please share the next steps.,Technical Issue,High,help desk,3,api returns timeout error during order sync request came through help desk retail business customer blocked because production blocked affected users share next steps
TCK-1715,Need guidance on choosing the right package. The request came through web form from a enterprise. The customer is concerned because when possible. Affected users: 2. We need a clear update from support.,General Query,Low,web form,2,need guidance choosing right package request came through web form enterprise customer concerned because when possible affected users need clear update support
TCK-1249,Dashboard is loading slowly after the latest update. The request came through web form from a enterprise. The customer is confused because minor question. Affected users: 1. We need a clear update from support.,Technical Issue,Low,web form,1,dashboard loading slowly after latest update request came through web form enterprise customer confused because minor question affected users need clear update support
TCK-1534,User invite link expired before activation. The request came through mobile app from a startup. The customer is concerned because nice to have. Affected users: 3. Please share the next steps.,Account,Low,mobile app,3,user invite link expired before activation request came through mobile app startup customer concerned because nice affected users share next steps
TCK-1307,API returns timeout error during order sync. The request came through mobile app from a agency. The customer is frustrated because important. Affected users: 5. Can your team help us resolve this?,Technical Issue,Medium,mobile app,5,api returns timeout error during order sync request came through mobile app agency customer frustrated because important affected users can your team help us resolve
TCK-1193,Report export fails with server error. The request came through web form from a startup. The customer is frustrated because needs attention. Affected users: 1. Let us know if you need more information.,Technical Issue,Medium,web form,1,report export fails server error request came through web form startup customer frustrated because needs attention affected users let us know if need more information
TCK-1300,Dashboard is loading slowly after the latest update. The request came through mobile app from a retail business. The customer is confused because partial outage. Affected users: 2. This is affecting our daily workflow.,Technical Issue,Medium,mobile app,2,dashboard loading slowly after latest update request came through mobile app retail business customer confused because partial outage affected users affecting daily workflow
TCK-1032,Invoice amount is incorrect after plan renewal. The request came through web form from a retail business. The customer is waiting because affecting team. Affected users: 5. This is affecting our daily workflow.,Billing,Medium,web form,5,invoice amount incorrect after plan renewal request came through web form retail business customer waiting because affecting team affected users affecting daily workflow
TCK-1504,User invite link expired before activation. The request came through email from a enterprise. The customer is waiting because when possible. Affected users: 3. We need a clear update from support.,Account,Low,email,3,user invite link expired before activation request came through email enterprise customer waiting because when possible affected users need clear update support
TCK-1550,Can you explain how the trial period works. The request came through mobile app from a startup. The customer is waiting because minor question. Affected users: 3. Can your team help us resolve this?,General Query,Low,mobile app,3,can explain how trial period works request came through mobile app startup customer waiting because minor question affected users can your team help us resolve
TCK-1232,Mobile app freezes on the login screen. The request came through web form from a startup. The customer is waiting because urgent. Affected users: 2. This is affecting our daily workflow.,Technical Issue,High,web form,2,mobile app freezes login screen request came through web form startup customer waiting because urgent affected users affecting daily workflow
TCK-1458,User invite link expired before activation. The request came through mobile app from a retail business. The customer is concerned because security concern. Affected users: 1. We need a clear update from support.,Account,High,mobile app,1,user invite link expired before activation request came through mobile app retail business customer concerned because security concern affected users need clear update support
TCK-1661,Where can I find documentation for reports. The request came through chat from a enterprise. The customer is frustrated because minor question. Affected users: 80. This is affecting our daily workflow.,General Query,Low,chat,80,where can find documentation reports request came through chat enterprise customer frustrated because minor question affected users 80 affecting daily workflow
TCK-1235,Mobile app freezes on the login screen. The request came through chat from a enterprise. The customer is concerned because workflow delayed. Affected users: 5. Please share the next steps.,Technical Issue,Medium,chat,5,mobile app freezes login screen request came through chat enterprise customer concerned because workflow delayed affected users share next steps
TCK-1056,Card charged twice for the same billing cycle. The request came through help desk from a agency. The customer is blocked because affecting team. Affected users: 10. Let us know if you need more information.,Billing,Medium,help desk,10,card charged twice same billing cycle request came through help desk agency customer blocked because affecting team affected users 10 let us know if need more information
TCK-1210,Report export fails with server error. The request came through email from a retail business. The customer is blocked because affecting team. Affected users: 10. We need a clear update from support.,Technical Issue,Medium,email,10,report export fails server error request came through email retail business customer blocked because affecting team affected users 10 need clear update support
TCK-1339,Integration webhook is not sending payloads. The request came through mobile app from a enterprise. The customer is concerned because nice to have. Affected users: 5. This is affecting our daily workflow.,Technical Issue,Low,mobile app,5,integration webhook not sending payloads request came through mobile app enterprise customer concerned because nice affected users affecting daily workflow
TCK-1175,Need refund for duplicate subscription charge. The request came through web form from a education team. The customer is waiting because when possible. Affected users: 2. This is affecting our daily workflow.,Billing,Low,web form,2,need refund duplicate subscription charge request came through web form education team customer waiting because when possible affected users affecting daily workflow
TCK-1351,Dashboard is loading slowly after the latest update. The request came through email from a education team. The customer is frustrated because affecting team. Affected users: 10. We need a clear update from support.,Technical Issue,Medium,email,10,dashboard loading slowly after latest update request came through email education team customer frustrated because affecting team affected users 10 need clear update support
TCK-1077,Unable to download receipt for annual plan. The request came through web form from a retail business. The customer is frustrated because partial outage. Affected users: 2. We need a clear update from support.,Billing,Medium,web form,2,unable download receipt annual plan request came through web form retail business customer frustrated because partial outage affected users need clear update support
TCK-1003,Payment failed but money was deducted from bank account. The request came through mobile app from a retail business. The customer is confused because partial outage. Affected users: 10. Please share the next steps.,Billing,Medium,mobile app,10,payment failed but money deducted bank account request came through mobile app retail business customer confused because partial outage affected users 10 share next steps
TCK-1549,Can you explain how the trial period works. The request came through chat from a startup. The customer is waiting because revenue impact. Affected users: 5. We need a clear update from support.,General Query,High,chat,5,can explain how trial period works request came through chat startup customer waiting because revenue impact affected users need clear update support
TCK-1110,Unable to download receipt for annual plan. The request came through web form from a startup. The customer is frustrated because needs attention. Affected users: 5. Please share the next steps.,Billing,Medium,web form,5,unable download receipt annual plan request came through web form startup customer frustrated because needs attention affected users share next steps
TCK-1292,API returns timeout error during order sync. The request came through chat from a agency. The customer is waiting because production blocked. Affected users: 25. We need a clear update from support.,Technical Issue,High,chat,25,api returns timeout error during order sync request came through chat agency customer waiting because production blocked affected users 25 need clear update support
TCK-1716,Need information about available pricing plans. The request came through chat from a enterprise. The customer is frustrated because workflow delayed. Affected users: 5. Can your team help us resolve this?,General Query,Medium,chat,5,need information about available pricing plans request came through chat enterprise customer frustrated because workflow delayed affected users can your team help us resolve
TCK-1312,Application crashes when uploading a large csv file. The request came through web form from a agency. The customer is frustrated because nice to have. Affected users: 5. Let us know if you need more information.,Technical Issue,Low,web form,5,application crashes when uploading large csv file request came through web form agency customer frustrated because nice affected users let us know if need more information
TCK-1352,Application crashes when uploading a large csv file. The request came through web form from a education team. The customer is blocked because important. Affected users: 25. Let us know if you need more information.,Technical Issue,Medium,web form,25,application crashes when uploading large csv file request came through web form education team customer blocked because important affected users 25 let us know if need more information
TCK-1209,Dashboard is loading slowly after the latest update. The request came through email from a retail business. The customer is concerned because cannot access. Affected users: 5. Can your team help us resolve this?,Technical Issue,High,email,5,dashboard loading slowly after latest update request came through email retail business customer concerned because cannot access affected users can your team help us resolve
TCK-1358,Report export fails with server error. The request came through help desk from a retail business. The customer is waiting because minor question. Affected users: 10. Can your team help us resolve this?,Technical Issue,Low,help desk,10,report export fails server error request came through help desk retail business customer waiting because minor question affected users 10 can your team help us resolve
TCK-1182,Report export fails with server error. The request came through help desk from a startup. The customer is frustrated because needs attention. Affected users: 1. We need a clear update from support.,Technical Issue,Medium,help desk,1,report export fails server error request came through help desk startup customer frustrated because needs attention affected users need clear update support
TCK-1236,Report export fails with server error. The request came through web form from a enterprise. The customer is blocked because not urgent. Affected users: 1. We need a clear update from support.,Technical Issue,Low,web form,1,report export fails server error request came through web form enterprise customer blocked because not urgent affected users need clear update support
TCK-1228,Dashboard is loading slowly after the latest update. The request came through email from a agency. The customer is concerned because needs attention. Affected users: 1. This is affecting our daily workflow.,Technical Issue,Medium,email,1,dashboard loading slowly after latest update request came through email agency customer concerned because needs attention affected users affecting daily workflow
TCK-1658,Need information about available pricing plans. The request came through email from a agency. The customer is frustrated because before tomorrow. Affected users: 1. Please share the next steps.,General Query,Medium,email,1,need information about available pricing plans request came through email agency customer frustrated because before tomorrow affected users share next steps
TCK-1119,Card charged twice for the same billing cycle. The request came through chat from a enterprise. The customer is confused because not urgent. Affected users: 3. Can your team help us resolve this?,Billing,Low,chat,3,card charged twice same billing cycle request came through chat enterprise customer confused because not urgent affected users can your team help us resolve
TCK-1451,Cannot update profile and organization details. The request came through email from a enterprise. The customer is concerned because workflow delayed. Affected users: 3. Let us know if you need more information.,Account,Medium,email,3,cannot update profile organization details request came through email enterprise customer concerned because workflow delayed affected users let us know if need more information
